epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,585.299,0.41786,0.13608,0.06947,0.28156,0.95183,0.99982,1,0.995,0.95859,0.98998,0.99016,0.98826,0.987,0.29585,0.10138,0.00621,0.16946,0.8344,0.009109,0.009109,0.009109
29,606.436,0.40675,0.13992,0.07396,0.27341,0.94278,0.99981,1,0.995,0.98363,0.99325,0.99344,0.99187,0.99052,0.263,0.0943,0.0068,0.18039,0.82411,0.009076,0.009076,0.009076
30,627.604,0.41691,0.1471,0.0695,0.27933,0.94905,0.99979,1,0.995,0.95019,0.99323,0.99344,0.99313,0.99186,0.33484,0.1014,0.01434,0.18905,0.83684,0.009043,0.009043,0.009043
31,648.222,0.40339,0.14187,0.07529,0.27118,0.94035,0.99976,1,0.995,0.98746,0.99321,0.99344,0.99085,0.99028,0.21944,0.08834,0.00715,0.15243,0.81531,0.00901,0.00901,0.00901
32,669.016,0.40229,0.11437,0.05806,0.27063,0.94368,0.99981,1,0.995,0.97947,0.99325,0.99344,0.99279,0.98552,0.25868,0.09977,0.00896,0.16866,0.8282,0.008977,0.008977,0.008977
33,690.328,0.39588,0.12054,0.07015,0.26919,0.94371,0.99979,1,0.995,0.98212,0.99323,0.99344,0.9924,0.98567,0.24649,0.10227,0.00859,0.17898,0.8246,0.008944,0.008944,0.008944
34,711.108,0.39616,0.14475,0.06835,0.26866,0.94401,0.99981,1,0.995,0.9874,0.99325,0.99344,0.99351,0.98765,0.2197,0.09487,0.0106,0.16179,0.81729,0.008911,0.008911,0.008911
35,732.265,0.39608,0.11829,0.06253,0.26549,0.94545,0.99976,1,0.995,0.99008,0.9932,0.99344,0.99232,0.99136,0.2314,0.09536,0.04675,0.15985,0.81946,0.008878,0.008878,0.008878
36,753.585,0.38387,0.13226,0.07106,0.26272,0.93953,0.99978,1,0.995,0.96975,0.99323,0.99344,0.98864,0.98812,0.27163,0.09376,0.00559,0.18039,0.82488,0.008845,0.008845,0.008845
37,774.545,0.39091,0.1133,0.06254,0.26481,0.94122,0.99982,1,0.995,0.97246,0.99326,0.99344,0.98995,0.98395,0.27459,0.09175,0.01074,0.16809,0.82706,0.008812,0.008812,0.008812
38,795.599,0.37899,0.12669,0.06847,0.2581,0.93751,0.9998,1,0.995,0.98363,0.99324,0.99344,0.99176,0.99095,0.25321,0.09057,0.00472,0.16678,0.82304,0.008779,0.008779,0.008779
39,816.253,0.37288,0.12956,0.06141,0.2603,0.93956,0.99981,1,0.995,0.98496,0.99326,0.99344,0.994,0.99342,0.24438,0.09194,0.03218,0.17005,0.82127,0.008746,0.008746,0.008746
40,837.22,0.37894,0.11184,0.06571,0.25918,0.93319,0.99982,1,0.995,0.9907,0.99326,0.99344,0.99311,0.99311,0.20987,0.08515,0.01339,0.14786,0.81335,0.008713,0.008713,0.008713
41,857.914,0.36758,0.11927,0.06276,0.25161,0.9308,0.99982,1,0.995,0.98566,0.99326,0.99344,0.99164,0.99086,0.23669,0.08674,0.01797,0.17228,0.82009,0.00868,0.00868,0.00868
42,878.839,0.37446,0.12625,0.0616,0.25523,0.9385,0.99981,1,0.995,0.993,0.99325,0.99344,0.99373,0.99336,0.21391,0.08174,0.00856,0.15539,0.81288,0.008647,0.008647,0.008647
43,899.77,0.36746,0.11401,0.06084,0.2552,0.93619,0.9997,1,0.995,0.98345,0.99315,0.99344,0.98962,0.9867,0.2541,0.09055,0.01713,0.17822,0.82345,0.008614,0.008614,0.008614
44,920.584,0.36167,0.09566,0.06353,0.24763,0.93132,0.9998,1,0.995,0.98858,0.99325,0.99344,0.99366,0.99311,0.21646,0.07942,0.00519,0.16081,0.81481,0.008581,0.008581,0.008581
45,941.038,0.35803,0.11016,0.06269,0.24788,0.93354,0.99982,1,0.995,0.98211,0.99326,0.99344,0.99223,0.99187,0.25347,0.08093,0.0176,0.16678,0.82264,0.008548,0.008548,0.008548
46,962.146,0.35863,0.10232,0.06275,0.24509,0.93014,0.99981,1,0.995,0.9748,0.99325,0.99344,0.99423,0.9937,0.21645,0.08312,0.01339,0.15532,0.8147,0.008515,0.008515,0.008515
47,982.939,0.35536,0.09679,0.06181,0.24435,0.93615,0.99982,1,0.995,0.99004,0.99326,0.99344,0.98897,0.98897,0.2354,0.07754,0.00734,0.16545,0.81747,0.008482,0.008482,0.008482
48,1004,0.35526,0.11087,0.0552,0.24181,0.93215,0.99981,1,0.995,0.991,0.99326,0.99344,0.99127,0.99127,0.21702,0.08843,0.00398,0.15674,0.81273,0.008449,0.008449,0.008449
49,1024.9,0.35009,0.11127,0.06454,0.24261,0.93052,0.99981,1,0.995,0.99279,0.99325,0.99344,0.98996,0.98996,0.19439,0.08087,0.00809,0.15426,0.81086,0.008416,0.008416,0.008416
50,1032.01,0.35271,0.09916,0.05484,0.24172,0.93352,0.99981,1,0.995,0.99161,0.99325,0.99344,0.99195,0.99142,0.21291,0.08059,0.00521,0.1535,0.81262,0.008383,0.008383,0.008383
51,1038,0.34457,0.10568,0.06027,0.23916,0.92894,0.99979,1,0.995,0.98337,0.99324,0.99344,0.99362,0.99362,0.23053,0.08541,0.01495,0.15453,0.81633,0.00835,0.00835,0.00835
52,1044.07,0.35272,0.10002,0.0534,0.24223,0.93108,0.99978,1,0.995,0.99296,0.99322,0.99344,0.99207,0.99206,0.19966,0.07852,0.01843,0.14977,0.81052,0.008317,0.008317,0.008317
53,1050.04,0.33895,0.09461,0.05775,0.23794,0.92888,0.99982,1,0.995,0.99478,0.99326,0.99344,0.98975,0.98966,0.19937,0.08683,0.0061,0.14812,0.81067,0.008284,0.008284,0.008284
54,1056.02,0.34238,0.10371,0.06157,0.23644,0.93175,0.99909,1,0.995,0.99179,0.99254,0.99344,0.99165,0.99011,0.22377,0.09019,0.01386,0.1484,0.81737,0.008251,0.008251,0.008251
55,1061.99,0.34587,0.10147,0.05502,0.23795,0.92884,0.99982,1,0.995,0.99191,0.99326,0.99344,0.99343,0.99343,0.20248,0.08117,0.00766,0.14015,0.81157,0.008218,0.008218,0.008218
56,1068.18,0.34408,0.08655,0.05812,0.23263,0.92702,0.99982,1,0.995,0.99397,0.99326,0.99344,0.99083,0.9904,0.19575,0.08313,0.00473,0.152,0.80951,0.008185,0.008185,0.008185
57,1074.22,0.33617,0.0959,0.05958,0.23481,0.93039,0.99966,1,0.995,0.99369,0.9931,0.99344,0.99131,0.9907,0.18465,0.08339,0.00622,0.14273,0.80921,0.008152,0.008152,0.008152
58,1080.32,0.33251,0.10538,0.05556,0.23095,0.92753,0.99981,1,0.995,0.99148,0.99326,0.99344,0.9944,0.9939,0.2099,0.08195,0.00689,0.14142,0.81129,0.008119,0.008119,0.008119
59,1086.3,0.332,0.0979,0.04891,0.22958,0.92617,0.99982,1,0.995,0.97809,0.99326,0.99344,0.99272,0.99225,0.23667,0.07831,0.00633,0.16011,0.8178,0.008086,0.008086,0.008086
60,1092.44,0.32509,0.10243,0.05454,0.22563,0.9222,0.99981,1,0.995,0.98456,0.99325,0.99344,0.99283,0.99283,0.20001,0.08056,0.00997,0.14081,0.81097,0.008053,0.008053,0.008053
61,1098.63,0.33268,0.09485,0.05707,0.23313,0.92699,0.99982,1,0.995,0.99453,0.99326,0.99344,0.99346,0.99305,0.18719,0.07727,0.01799,0.1374,0.80881,0.00802,0.00802,0.00802
62,1104.79,0.32585,0.08429,0.05252,0.22736,0.92562,0.99975,1,0.995,0.99395,0.99319,0.99344,0.9939,0.99298,0.21071,0.07805,0.01392,0.13729,0.81413,0.007987,0.007987,0.007987
63,1110.88,0.33195,0.09734,0.05535,0.22782,0.92846,0.99981,1,0.995,0.99352,0.99326,0.99344,0.99257,0.99257,0.19078,0.07596,0.01762,0.13121,0.81071,0.007954,0.007954,0.007954
64,1117,0.33404,0.1153,0.06067,0.23272,0.92745,0.99981,1,0.995,0.99195,0.99326,0.99344,0.99084,0.99033,0.20219,0.07889,0.01504,0.14017,0.81154,0.007921,0.007921,0.007921
65,1123.04,0.33106,0.09078,0.05955,0.23349,0.92549,0.99964,1,0.995,0.99151,0.99309,0.99344,0.99199,0.99198,0.19654,0.07718,0.01177,0.1352,0.8107,0.007888,0.007888,0.007888
66,1129.08,0.33108,0.08886,0.05273,0.22757,0.93004,0.99982,1,0.995,0.99192,0.99326,0.99344,0.99119,0.99062,0.19257,0.07864,0.00443,0.13981,0.81093,0.007855,0.007855,0.007855
67,1135.03,0.32269,0.09098,0.05482,0.22585,0.92418,0.99982,1,0.995,0.99311,0.99327,0.99344,0.99209,0.99167,0.20239,0.07831,0.00986,0.13408,0.8119,0.007822,0.007822,0.007822
68,1140.98,0.32296,0.08562,0.05188,0.22359,0.9221,0.99982,1,0.995,0.99191,0.99326,0.99344,0.98989,0.98963,0.19903,0.07482,0.00379,0.13562,0.80927,0.007789,0.007789,0.007789
69,1147.04,0.32129,0.08327,0.04999,0.22096,0.92343,0.99982,1,0.995,0.99217,0.99326,0.99344,0.99297,0.99297,0.19605,0.07516,0.01046,0.1316,0.80991,0.007756,0.007756,0.007756
70,1153.21,0.31505,0.08527,0.05319,0.21985,0.92101,0.99973,1,0.995,0.99254,0.99317,0.99344,0.99193,0.99193,0.21102,0.07607,0.00721,0.13497,0.81065,0.007723,0.007723,0.007723
