epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1728.87,0.39585,0.31171,1.29001,0.98853,0.98739,0.99483,0.97408,0.28458,0.20319,1.08314,0.008581,0.008581,0.008581
45,1768.01,0.39296,0.30841,1.31983,0.9991,0.9958,0.995,0.98077,0.26912,0.19257,1.11011,0.008548,0.008548,0.008548
46,1807.14,0.39215,0.30823,1.31954,0.97482,0.9958,0.99331,0.97729,0.26377,0.2042,1.08419,0.008515,0.008515,0.008515
47,1846.26,0.39206,0.30583,1.32163,0.99857,0.9916,0.995,0.97923,0.26592,0.19332,1.09888,0.008482,0.008482,0.008482
48,1885.36,0.38503,0.30649,1.30852,0.98743,0.99032,0.99483,0.97845,0.26779,0.20948,1.07345,0.008449,0.008449,0.008449
49,1924.49,0.38367,0.30538,1.30516,0.99895,0.9958,0.995,0.9747,0.27619,0.18822,1.1131,0.008416,0.008416,0.008416
50,1963.59,0.38266,0.30502,1.31279,0.97974,0.9958,0.99471,0.97306,0.27097,0.2044,1.10695,0.008383,0.008383,0.008383
51,2002.72,0.38157,0.31023,1.33305,0.98686,0.9958,0.99378,0.97964,0.25637,0.19574,1.09615,0.00835,0.00835,0.00835
52,2041.81,0.38924,0.30931,1.32072,0.98263,0.9958,0.99458,0.98059,0.255,0.20112,1.06093,0.008317,0.008317,0.008317
53,2081.11,0.38478,0.30417,1.32085,0.98688,0.9958,0.99436,0.97956,0.25957,0.19325,1.08882,0.008284,0.008284,0.008284
54,2120.47,0.3807,0.30351,1.31189,0.98754,0.99917,0.99487,0.98181,0.24791,0.184,1.05266,0.008251,0.008251,0.008251
55,2159.66,0.38113,0.30598,1.30667,0.99537,0.9958,0.99496,0.97826,0.26212,0.18821,1.08054,0.008218,0.008218,0.008218
56,2198.71,0.37097,0.29867,1.27787,0.99162,0.99469,0.99483,0.98073,0.26695,0.18753,1.09726,0.008185,0.008185,0.008185
57,2238.08,0.37528,0.2926,1.28406,0.98606,1,0.99453,0.97966,0.2609,0.2034,1.07456,0.008152,0.008152,0.008152
58,2277.17,0.37438,0.3036,1.28998,0.98707,1,0.99453,0.97974,0.26669,0.21036,1.08977,0.008119,0.008119,0.008119
59,2316.29,0.37324,0.29977,1.28954,0.99089,0.9958,0.99492,0.98239,0.25145,0.1906,1.07675,0.008086,0.008086,0.008086
60,2355.42,0.36862,0.29979,1.32014,0.99134,0.9958,0.99487,0.97975,0.25378,0.18105,1.08325,0.008053,0.008053,0.008053
61,2394.53,0.36136,0.2905,1.28101,1,0.99459,0.995,0.9795,0.26244,0.18732,1.06661,0.00802,0.00802,0.00802
62,2433.73,0.36262,0.29225,1.28247,1,0.99424,0.995,0.98229,0.25643,0.18392,1.09833,0.007987,0.007987,0.007987
63,2472.95,0.37092,0.29553,1.26961,0.99115,0.9958,0.99492,0.97905,0.26301,0.19299,1.08361,0.007954,0.007954,0.007954
64,2512.03,0.36154,0.29177,1.28001,0.99581,0.99945,0.995,0.97689,0.26925,0.19215,1.09059,0.007921,0.007921,0.007921
65,2551.15,0.36748,0.29368,1.2729,0.99086,0.9958,0.99479,0.98328,0.24025,0.1866,1.05472,0.007888,0.007888,0.007888
66,2590.32,0.36388,0.29399,1.29885,1,0.99129,0.995,0.98056,0.24544,0.18201,1.06226,0.007855,0.007855,0.007855
67,2629.41,0.35674,0.2879,1.26028,0.98716,0.9958,0.99487,0.98328,0.24248,0.19299,1.07864,0.007822,0.007822,0.007822
68,2668.51,0.36447,0.29887,1.29536,0.99104,0.9958,0.99475,0.97954,0.25026,0.19239,1.05417,0.007789,0.007789,0.007789
69,2707.61,0.3544,0.29394,1.27299,0.99571,0.9958,0.995,0.97892,0.24822,0.19265,1.07925,0.007756,0.007756,0.007756
70,2746.9,0.35521,0.2903,1.27827,0.99157,1,0.99479,0.98068,0.23519,0.17669,1.0591,0.007723,0.007723,0.007723
71,2786.03,0.35984,0.28767,1.27023,0.9987,0.9958,0.995,0.98581,0.24159,0.18014,1.0509,0.00769,0.00769,0.00769
72,2825.18,0.35503,0.28443,1.27061,0.99873,0.98739,0.99488,0.98335,0.24462,0.17624,1.09183,0.007657,0.007657,0.007657
73,2864.52,0.36458,0.29536,1.29321,0.99167,0.99996,0.995,0.98559,0.23356,0.17312,1.02998,0.007624,0.007624,0.007624
74,2903.58,0.35902,0.2838,1.28271,0.99902,0.9958,0.995,0.98093,0.23929,0.1769,1.06932,0.007591,0.007591,0.007591
75,2942.72,0.36196,0.28934,1.27076,0.99051,0.9958,0.99483,0.98462,0.23459,0.17719,1.03935,0.007558,0.007558,0.007558
76,2981.79,0.35725,0.28836,1.2771,0.9958,0.99502,0.995,0.98313,0.23532,0.17621,1.06841,0.007525,0.007525,0.007525
77,3020.91,0.35049,0.27988,1.25378,0.99914,0.9916,0.995,0.98261,0.24087,0.17535,1.0297,0.007492,0.007492,0.007492
78,3059.99,0.3504,0.28393,1.25156,0.99906,0.9958,0.995,0.98392,0.23572,0.17555,1.06215,0.007459,0.007459,0.007459
79,3099.1,0.35822,0.28378,1.25121,0.99579,0.9938,0.99496,0.98304,0.23959,0.17663,1.06329,0.007426,0.007426,0.007426
80,3138.19,0.35161,0.28446,1.27799,0.99144,0.9958,0.99496,0.98245,0.23354,0.17487,1.07416,0.007393,0.007393,0.007393
81,3177.3,0.35112,0.27941,1.251,1,0.98152,0.99467,0.97771,0.2378,0.18198,1.05795,0.00736,0.00736,0.00736
82,3216.37,0.35001,0.28091,1.25624,0.9991,0.9958,0.995,0.9838,0.23363,0.1711,1.02984,0.007327,0.007327,0.007327
83,3255.48,0.35478,0.28387,1.27537,0.9914,1,0.99492,0.98413,0.23373,0.16831,1.0606,0.007294,0.007294,0.007294
84,3294.55,0.35229,0.28593,1.27583,0.98675,0.9958,0.99483,0.98312,0.22865,0.17456,1.04693,0.007261,0.007261,0.007261
85,3333.68,0.34703,0.28135,1.25494,0.9944,0.9916,0.99496,0.98587,0.23595,0.17405,1.04368,0.007228,0.007228,0.007228
86,3372.78,0.34313,0.27655,1.26038,0.99579,0.99487,0.99475,0.98452,0.23585,0.16902,1.07285,0.007195,0.007195,0.007195
87,3411.91,0.34041,0.27233,1.25974,0.99544,0.9958,0.99391,0.98383,0.2302,0.17256,1.05733,0.007162,0.007162,0.007162
88,3450.99,0.33794,0.27174,1.2414,0.99533,0.98739,0.99479,0.982,0.23228,0.17585,1.03784,0.007129,0.007129,0.007129
89,3490.1,0.33331,0.26733,1.23153,0.99487,0.9958,0.99492,0.98547,0.22889,0.16704,1.03504,0.007096,0.007096,0.007096
90,3529.17,0.34185,0.28222,1.25578,1,0.99094,0.995,0.98267,0.22923,0.17492,1.02165,0.007063,0.007063,0.007063
91,3568.32,0.34056,0.27092,1.23217,0.99925,0.9958,0.995,0.98534,0.23193,0.17135,1.04501,0.00703,0.00703,0.00703
92,3607.42,0.33911,0.27191,1.24814,0.99845,0.9958,0.995,0.98428,0.22919,0.17019,1.03656,0.006997,0.006997,0.006997
93,3646.56,0.35098,0.28455,1.25978,0.99961,0.9958,0.995,0.98366,0.23109,0.16578,1.04341,0.006964,0.006964,0.006964
94,3685.63,0.33457,0.27297,1.25437,1,0.98643,0.99488,0.98443,0.22355,0.16997,1.03783,0.006931,0.006931,0.006931
95,3724.78,0.34009,0.26352,1.25478,1,0.99005,0.995,0.98379,0.22694,0.16959,1.03371,0.006898,0.006898,0.006898
96,3763.84,0.34489,0.28009,1.2559,0.99579,0.99324,0.995,0.98187,0.23037,0.17024,1.03185,0.006865,0.006865,0.006865
97,3802.95,0.33782,0.27416,1.25104,0.99535,1,0.995,0.98297,0.2199,0.1627,1.03114,0.006832,0.006832,0.006832
98,3842.06,0.33754,0.27102,1.23134,0.99912,0.9958,0.995,0.98445,0.23206,0.1672,1.08986,0.006799,0.006799,0.006799
99,3881.2,0.33245,0.26805,1.22572,0.99582,0.99996,0.99487,0.98483,0.22025,0.16675,1.04032,0.006766,0.006766,0.006766
100,3920.29,0.33151,0.27739,1.24691,0.99132,1,0.99475,0.98471,0.2205,0.16331,1.03235,0.006733,0.006733,0.006733
101,3959.65,0.33925,0.26822,1.24513,0.99094,0.9958,0.99483,0.98436,0.22489,0.16874,1.05857,0.0067,0.0067,0.0067
102,3998.77,0.32767,0.26556,1.24962,0.99579,0.99481,0.99496,0.98511,0.22019,0.1606,1.04564,0.006667,0.006667,0.006667
103,4038.13,0.33957,0.27523,1.25941,1,0.99106,0.995,0.98507,0.22532,0.16354,1.03704,0.006634,0.006634,0.006634
104,4077.46,0.33218,0.26542,1.21393,0.99066,0.9958,0.99483,0.98315,0.22576,0.16742,1.03681,0.006601,0.006601,0.006601
105,4116.58,0.33385,0.26911,1.23947,0.99461,0.9958,0.99496,0.98531,0.22687,0.16664,1.09491,0.006568,0.006568,0.006568
106,4155.67,0.33782,0.26872,1.23101,0.99163,0.9952,0.99496,0.98406,0.22176,0.16941,1.03619,0.006535,0.006535,0.006535
107,4194.85,0.32637,0.27011,1.26275,0.99499,0.9958,0.99492,0.98539,0.23378,0.16667,1.0336,0.006502,0.006502,0.006502
108,4233.9,0.33541,0.26978,1.23704,0.99579,0.99396,0.99496,0.9868,0.22579,0.1676,1.03969,0.006469,0.006469,0.006469
109,4273.09,0.32586,0.26651,1.21784,0.98653,1,0.99479,0.98614,0.21948,0.15782,1.04997,0.006436,0.006436,0.006436
110,4312.18,0.32747,0.26983,1.2437,0.987,1,0.99492,0.9856,0.2181,0.16594,1.05041,0.006403,0.006403,0.006403
111,4351.28,0.32515,0.26215,1.22879,0.98726,1,0.99462,0.98702,0.21474,0.16835,1.03163,0.00637,0.00637,0.00637
112,4390.68,0.32355,0.25929,1.23575,0.99147,1,0.99496,0.98666,0.21254,0.1602,1.03863,0.006337,0.006337,0.006337
113,4429.94,0.32129,0.25783,1.21785,0.99159,0.99088,0.99475,0.98501,0.21866,0.16597,1.04485,0.006304,0.006304,0.006304
114,4469.09,0.32191,0.2564,1.22564,0.99578,0.99148,0.99492,0.985,0.21793,0.15838,1.0491,0.006271,0.006271,0.006271
115,4508.37,0.32238,0.25838,1.2379,0.99105,0.9958,0.99492,0.98651,0.21485,0.15546,1.05163,0.006238,0.006238,0.006238
116,4547.43,0.32488,0.26457,1.22301,0.99918,0.9958,0.995,0.98598,0.21694,0.16732,1.05193,0.006205,0.006205,0.006205
117,4586.52,0.3217,0.26406,1.22155,1,0.99991,0.995,0.98544,0.20951,0.15504,1.05846,0.006172,0.006172,0.006172
118,4625.59,0.31867,0.26107,1.22265,0.99965,0.9916,0.995,0.98675,0.21518,0.15847,1.03678,0.006139,0.006139,0.006139
119,4664.69,0.31868,0.25876,1.22561,0.99106,0.9958,0.99492,0.98642,0.21301,0.1551,1.025,0.006106,0.006106,0.006106
120,4703.75,0.31443,0.25297,1.2028,0.99163,0.9951,0.99487,0.98584,0.21857,0.16333,1.03481,0.006073,0.006073,0.006073
121,4742.86,0.31337,0.25223,1.2085,0.99558,0.98739,0.99479,0.98674,0.21754,0.16451,1.02755,0.00604,0.00604,0.00604
122,4781.93,0.32139,0.25633,1.22212,1,0.987,0.995,0.98772,0.21055,0.15951,1.01352,0.006007,0.006007,0.006007
123,4821.09,0.32599,0.26232,1.23416,1,0.99981,0.995,0.98817,0.21161,0.15325,1.02129,0.005974,0.005974,0.005974
124,4860.2,0.31763,0.25535,1.23073,1,0.99809,0.995,0.98492,0.21116,0.15212,1.03377,0.005941,0.005941,0.005941
125,4899.34,0.31659,0.25318,1.22065,0.99166,0.99863,0.99483,0.98617,0.21054,0.15152,1.032,0.005908,0.005908,0.005908
126,4938.41,0.31969,0.25719,1.24509,0.99943,1,0.995,0.98598,0.21221,0.15667,1.03681,0.005875,0.005875,0.005875
127,4977.53,0.31929,0.25617,1.22744,0.9955,0.9958,0.995,0.98765,0.2053,0.15476,1.01255,0.005842,0.005842,0.005842
128,5016.6,0.31103,0.25726,1.19397,0.99966,0.9958,0.995,0.9822,0.21797,0.16712,1.03547,0.005809,0.005809,0.005809
129,5055.84,0.31054,0.25053,1.2171,0.99473,1,0.99496,0.98503,0.2165,0.15792,1.03256,0.005776,0.005776,0.005776
130,5094.99,0.31177,0.25319,1.22444,0.99579,0.99455,0.99496,0.9869,0.21004,0.15483,1.01589,0.005743,0.005743,0.005743
131,5134.26,0.31285,0.24789,1.18785,0.99553,1,0.995,0.98458,0.20528,0.14869,1.03662,0.00571,0.00571,0.00571
132,5173.49,0.30734,0.25567,1.21555,0.98755,0.99997,0.99496,0.98695,0.2045,0.15064,1.01522,0.005677,0.005677,0.005677
133,5212.71,0.30961,0.25332,1.23183,0.99163,0.99533,0.99475,0.98536,0.2104,0.16089,1.02788,0.005644,0.005644,0.005644
134,5251.78,0.30428,0.24849,1.20872,0.99342,0.9958,0.99496,0.98669,0.20581,0.15548,1.02474,0.005611,0.005611,0.005611
135,5290.91,0.30596,0.24995,1.20981,1,0.99151,0.995,0.98863,0.19681,0.14784,1.00179,0.005578,0.005578,0.005578
136,5330.04,0.30524,0.25237,1.20508,0.99541,0.9958,0.99496,0.98707,0.19586,0.15322,1.00937,0.005545,0.005545,0.005545
137,5369.19,0.30707,0.24118,1.21647,1,0.9955,0.995,0.98869,0.19734,0.14751,1.0217,0.005512,0.005512,0.005512
138,5408.34,0.30555,0.24292,1.185,0.99964,1,0.995,0.98857,0.19866,0.14768,1.02802,0.005479,0.005479,0.005479
139,5447.47,0.30172,0.24374,1.20219,0.9995,1,0.995,0.98885,0.19979,0.14835,1.00935,0.005446,0.005446,0.005446
140,5486.6,0.3033,0.24813,1.19247,0.99581,0.99858,0.995,0.98672,0.19862,0.15294,1.00196,0.005413,0.005413,0.005413
141,5525.71,0.30366,0.24511,1.20145,0.99943,1,0.995,0.98917,0.1942,0.14409,1.00971,0.00538,0.00538,0.00538
142,5564.82,0.30918,0.24671,1.21787,0.99166,0.99968,0.99479,0.98956,0.19731,0.15038,1.00976,0.005347,0.005347,0.005347
143,5603.99,0.30195,0.24354,1.20611,0.99565,1,0.995,0.9873,0.20112,0.14928,1.00208,0.005314,0.005314,0.005314
144,5643.08,0.30477,0.24356,1.21273,0.98995,1,0.995,0.98755,0.19829,0.14617,1.02615,0.005281,0.005281,0.005281
145,5682.19,0.30154,0.24215,1.2054,0.9915,1,0.99487,0.98754,0.19688,0.14775,1.02195,0.005248,0.005248,0.005248
146,5721.26,0.30578,0.24887,1.19568,0.99142,1,0.99492,0.98823,0.19679,0.14771,1.00835,0.005215,0.005215,0.005215
147,5760.39,0.30381,0.24598,1.1947,0.9999,0.9958,0.995,0.989,0.19357,0.15274,1.01438,0.005182,0.005182,0.005182
148,5799.46,0.29942,0.24656,1.19676,0.99975,0.9958,0.995,0.98728,0.20065,0.14814,1.00534,0.005149,0.005149,0.005149
149,5838.56,0.29844,0.23634,1.20288,1,0.99572,0.995,0.98802,0.19901,0.14436,1.01016,0.005116,0.005116,0.005116
150,5877.65,0.29276,0.2351,1.18492,0.99952,0.9958,0.995,0.98849,0.19349,0.15122,1.00651,0.005083,0.005083,0.005083
151,5916.78,0.29938,0.24938,1.20114,0.99961,0.9958,0.995,0.98881,0.19361,0.14986,1.02411,0.00505,0.00505,0.00505
152,5955.83,0.29464,0.23517,1.1937,0.99947,0.9958,0.995,0.98989,0.19133,0.14224,0.99149,0.005017,0.005017,0.005017
153,5995.02,0.30347,0.24635,1.18401,0.99927,0.9958,0.995,0.98975,0.19957,0.13769,1.04583,0.004984,0.004984,0.004984
154,6034.08,0.29628,0.24207,1.19195,1,0.99536,0.995,0.9895,0.19555,0.14499,0.99642,0.004951,0.004951,0.004951
155,6073.21,0.29513,0.2411,1.18216,0.99957,0.9958,0.995,0.98872,0.18854,0.14387,1,0.004918,0.004918,0.004918
156,6112.27,0.29795,0.23771,1.19135,0.99964,0.9958,0.995,0.98681,0.19901,0.14259,1.02766,0.004885,0.004885,0.004885
157,6151.38,0.29497,0.2487,1.19131,0.99966,0.9958,0.995,0.98708,0.19339,0.1465,1.01695,0.004852,0.004852,0.004852
158,6190.44,0.28775,0.23352,1.18516,0.99959,0.9958,0.995,0.98624,0.19051,0.14457,1.01787,0.004819,0.004819,0.004819
159,6229.54,0.29533,0.23912,1.20373,1,0.99469,0.995,0.98749,0.19489,0.14866,1.00936,0.004786,0.004786,0.004786
160,6268.59,0.29118,0.24348,1.20618,1,0.99931,0.995,0.98712,0.19023,0.14307,1.017,0.004753,0.004753,0.004753
161,6307.71,0.29743,0.24259,1.21377,1,0.99964,0.995,0.99154,0.1913,0.14051,0.9906,0.00472,0.00472,0.00472
