epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,234.419,0.43255,0.3226,1.36956,0.99816,1,0.995,0.97442,0.26572,0.21316,1.17411,0.008515,0.008515,0.008515
47,239.748,0.44063,0.32129,1.38345,0.99837,1,0.995,0.98201,0.24648,0.21927,1.03001,0.008482,0.008482,0.008482
48,245.061,0.4277,0.32786,1.37959,0.9984,1,0.995,0.97708,0.24888,0.19784,1.17661,0.008449,0.008449,0.008449
49,250.098,0.42393,0.32627,1.36052,0.99847,1,0.995,0.97754,0.26063,0.21294,1.13324,0.008416,0.008416,0.008416
50,254.529,0.43771,0.33063,1.35128,0.99845,1,0.995,0.97315,0.26269,0.21202,1.10836,0.008383,0.008383,0.008383
51,259.799,0.43107,0.33156,1.35109,0.99837,1,0.995,0.96819,0.31015,0.26802,1.09082,0.00835,0.00835,0.00835
52,265.104,0.4349,0.32126,1.33877,0.99845,1,0.995,0.97765,0.27419,0.20278,1.25727,0.008317,0.008317,0.008317
53,270.415,0.43283,0.32881,1.31952,0.99868,1,0.995,0.9808,0.26556,0.22381,1.1431,0.008284,0.008284,0.008284
54,274.642,0.43234,0.33459,1.33704,1,1,0.995,0.98882,0.23634,0.18566,1.15105,0.008251,0.008251,0.008251
55,280.086,0.4353,0.3309,1.31667,0.9984,1,0.995,0.98209,0.2439,0.19459,1.12456,0.008218,0.008218,0.008218
56,285.391,0.40078,0.32612,1.30768,0.99841,1,0.995,0.98691,0.24908,0.21363,1.08264,0.008185,0.008185,0.008185
57,290.703,0.40676,0.32003,1.36709,0.99846,1,0.995,0.97889,0.25408,0.20268,1.17276,0.008152,0.008152,0.008152
58,295.114,0.42613,0.31812,1.36839,0.99823,1,0.995,0.98136,0.25403,0.1914,1.189,0.008119,0.008119,0.008119
59,300.27,0.40489,0.30512,1.29289,1,1,0.995,0.97223,0.24096,0.19912,1.07437,0.008086,0.008086,0.008086
60,305.599,0.41157,0.31912,1.31459,0.99843,1,0.995,0.98223,0.24865,0.19551,1.21103,0.008053,0.008053,0.008053
61,310.962,0.42926,0.33385,1.3641,0.99846,1,0.995,0.97583,0.24921,0.21519,1.05063,0.00802,0.00802,0.00802
62,315.514,0.42013,0.33329,1.36607,0.99831,1,0.995,0.9855,0.24967,0.21517,1.02706,0.007987,0.007987,0.007987
63,320.506,0.40665,0.3158,1.2997,0.99677,1,0.995,0.97761,0.27512,0.22281,1.09273,0.007954,0.007954,0.007954
